show_id,title,type,genre,release_year,end_year,episodes,seasons,duration,rating,votes,description,director,cast,network,country,language,certificate,status,imdb_id,poster_url,mood,viewing_condition,keywords
TV_00011,In Series,TV Movie,History,2017,,122,2,52,6.5,615801,A dramatic history tv movie perfect for focused_watching. This dramatic series explores themes of friendship.,Director Davis,Jennifer Aniston and Lisa Kudrow,Amazon Prime,India,English,TV-PG,Ongoing,tt8250136,https://example.com/posters/tv_11.jpg,dramatic,focused_watching,"dramatic,focused_watching,history"
TV_00012,A Chronicles,Documentary Series,Action,1955,,50,5,41,8.1,963095,A thoughtful action documentary series perfect for bedtime. This thoughtful series explores themes of adventure.,Director Davis,Jennifer Aniston and David Schwimmer,Disney+,India,English,TV-MA,Ongoing,tt7743241,https://example.com/posters/tv_12.jpg,thoughtful,bedtime,"thoughtful,bedtime,action"
TV_00013,The Story,Documentary Series,Drama,1940,1950.0,164,15,60,3.5,560153,A lighthearted drama documentary series perfect for rainy_day. This lighthearted series explores themes of discovery.,Director Johnson,Courteney Cox and Matt LeBlanc,Netflix,UK,English,TV-MA,Ended,tt5538105,https://example.com/posters/tv_13.jpg,lighthearted,rainy_day,"lighthearted,rainy_day,drama"
TV_00014,A Show,TV Series,Western,1991,,54,5,58,9.1,991797,A uplifting western tv series perfect for sunny_day. This uplifting series explores themes of discovery.,Director Brown,Jennifer Aniston and Lisa Kudrow,Starz,Norway,Japanese,TV-PG,Ended,tt6561695,https://example.com/posters/tv_14.jpg,uplifting,sunny_day,"uplifting,sunny_day,western"
TV_00015,Beyond Tales,TV Series,Adventure,2018,2024.0,91,11,43,3.7,823111,A melancholic adventure tv series perfect for bedtime. This melancholic series explores themes of discovery.,Director Davis,Matthew Perry and Matt LeBlanc,Apple TV+,Spain,Japanese,TV-MA,Released,tt5347789,https://example.com/posters/tv_15.jpg,melancholic,bedtime,"melancholic,bedtime,adventure"
TV_00016,The Tales,TV Series,Reality,1960,1962.0,193,2,26,8.2,108553,A intense reality tv series perfect for binge_watching. This intense series explores themes of friendship.,Director Brown,Jennifer Aniston and David Schwimmer,AMC,Sweden,French,TV-PG,Ended,tt8013733,https://example.com/posters/tv_16.jpg,intense,binge_watching,"intense,binge_watching,reality"
TV_00017,Beyond Chronicles,TV Movie,Action,1951,1960.0,45,4,54,4.6,985510,A uplifting action tv movie perfect for rainy_day. This uplifting series explores themes of redemption.,Director Johnson,Matthew Perry and Lisa Kudrow,Amazon Prime,Australia,Japanese,TV-14,Released,tt9671980,https://example.com/posters/tv_17.jpg,uplifting,rainy_day,"uplifting,rainy_day,action"
TV_00018,Beyond Series,TV Special,Reality,1983,1985.0,104,13,32,9.2,33171,A calm reality tv special perfect for study_break. This calm series explores themes of friendship.,Director Williams,Courteney Cox and Lisa Kudrow,Netflix,Spain,French,TV-PG,Ended,tt8046057,https://example.com/posters/tv_18.jpg,calm,study_break,"calm,study_break,reality"
TV_00019,The Tales,TV Special,Thriller,1999,,113,3,20,4.4,890593,A calm thriller tv special perfect for date_night. This calm series explores themes of adventure.,Director Williams,Jennifer Aniston and Matt LeBlanc,Hulu,Norway,French,TV-MA,Cancelled,tt6081920,https://example.com/posters/tv_19.jpg,calm,date_night,"calm,date_night,thriller"
TV_00020,A Show,TV Series,Western,1988,1997.0,196,5,35,8.2,181428,A inspiring western tv series perfect for weekend_marathon. This inspiring series explores themes of redemption.,Director Davis,Courteney Cox and David Schwimmer,Amazon Prime,India,French,TV-G,Ongoing,tt6565646,https://example.com/posters/tv_20.jpg,inspiring,weekend_marathon,"inspiring,weekend_marathon,western"
TV_00021,A Chronicles,Documentary Series,Horror,1946,1951.0,67,7,40,4.3,463478,A inspiring horror documentary series perfect for bedtime. This inspiring series explores themes of friendship.,Director Johnson,Jennifer Aniston and David Schwimmer,FX,USA,Korean,TV-G,Released,tt8731017,https://example.com/posters/tv_21.jpg,inspiring,bedtime,"inspiring,bedtime,horror"
TV_00022,The Office,Documentary Series,Comedy,1965,1966.0,162,12,49,5.1,813554,A melancholic comedy documentary series perfect for study_break. This melancholic series explores themes of friendship.,Director Johnson,Matthew Perry and Matt LeBlanc,ABC,Mexico,Korean,TV-14,Ended,tt5938653,https://example.com/posters/tv_22.jpg,melancholic,study_break,"melancholic,study_break,comedy"
TV_00023,The Tales,TV Mini Series,Mystery,2001,,139,6,58,8.7,825095,A exciting mystery tv mini series perfect for binge_watching. This exciting series explores themes of mystery.,Director Williams,Matthew Perry and David Schwimmer,HBO,France,Japanese,TV-G,Released,tt5925415,https://example.com/posters/tv_23.jpg,exciting,binge_watching,"exciting,binge_watching,mystery"
TV_00024,Beyond Tales,TV Movie,Romance,2024,2030.0,183,5,20,8.5,667587,A inspiring romance tv movie perfect for background_noise. This inspiring series explores themes of redemption.,Director Davis,Jennifer Aniston and Matt LeBlanc,Amazon Prime,Japan,Spanish,TV-14,Ended,tt1721513,https://example.com/posters/tv_24.jpg,inspiring,background_noise,"inspiring,background_noise,romance"
TV_00025,A Tales,TV Special,History,1999,2001.0,1,15,53,8.7,566932,A dramatic history tv special perfect for background_noise. This dramatic series explores themes of friendship.,Director Smith,Courteney Cox and David Schwimmer,HBO,Brazil,French,TV-14,Cancelled,tt8727584,https://example.com/posters/tv_25.jpg,dramatic,background_noise,"dramatic,background_noise,history"
TV_00026,Beyond Tales,TV Mini Series,Western,1984,1987.0,50,5,32,5.1,163148,A uplifting western tv mini series perfect for study_break. This uplifting series explores themes of discovery.,Director Johnson,Courteney Cox and Matt LeBlanc,NBC,USA,Spanish,TV-MA,Cancelled,tt1818005,https://example.com/posters/tv_26.jpg,uplifting,study_break,"uplifting,study_break,western"
TV_00027,A Tales,Documentary Series,Mystery,2007,2015.0,45,6,38,6.3,838512,A dark mystery documentary series perfect for rainy_day. This dark series explores themes of adventure.,Director Smith,Matthew Perry and Lisa Kudrow,FX,Canada,Korean,TV-G,Released,tt3069976,https://example.com/posters/tv_27.jpg,dark,rainy_day,"dark,rainy_day,mystery"
TV_00028,The Tales,Documentary Series,Biography,1987,,188,6,36,4.5,193852,A calm biography documentary series perfect for weekend_marathon. This calm series explores themes of mystery.,Director Smith,Jennifer Aniston and Lisa Kudrow,BBC,Brazil,French,TV-G,Ended,tt8345802,https://example.com/posters/tv_28.jpg,calm,weekend_marathon,"calm,weekend_marathon,biography"
TV_00029,Friends,TV Special,Comedy,1998,,50,6,36,7.9,440494,A mysterious comedy tv special perfect for background_noise. This mysterious series explores themes of adventure.,Director Williams,Courteney Cox and Lisa Kudrow,NBC,Italy,Spanish,TV-PG,Ended,tt6280194,https://example.com/posters/tv_29.jpg,mysterious,background_noise,"mysterious,background_noise,comedy"
TV_00030,In Tales,TV Mini Series,Thriller,1970,,193,1,36,5.6,517197,A dark thriller tv mini series perfect for weekend_marathon. This dark series explores themes of mystery.,Director Davis,Courteney Cox and Matt LeBlanc,Peacock,Norway,Korean,TV-PG,Ongoing,tt3593538,https://example.com/posters/tv_30.jpg,dark,weekend_marathon,"dark,weekend_marathon,thriller"
TV_00031,Beyond Chronicles,TV Series,Musical,1951,,133,6,56,6.3,249076,A thoughtful musical tv series perfect for family_time. This thoughtful series explores themes of adventure.,Director Johnson,Matthew Perry and David Schwimmer,CBS,Canada,Japanese,TV-14,Cancelled,tt9015664,https://example.com/posters/tv_31.jpg,thoughtful,family_time,"thoughtful,family_time,musical"
TV_00032,The Chronicles,TV Special,Action,1982,1983.0,7,8,20,6.0,147314,A calm action tv special perfect for focused_watching. This calm series explores themes of adventure.,Director Williams,Matthew Perry and Lisa Kudrow,CBS,Spain,Japanese,TV-G,Released,tt4361265,https://example.com/posters/tv_32.jpg,calm,focused_watching,"calm,focused_watching,action"
TV_00033,Beyond Chronicles,TV Mini Series,Mystery,1999,2009.0,176,12,36,7.4,83901,A melancholic mystery tv mini series perfect for weekend_marathon. This melancholic series explores themes of discovery.,Director Williams,Courteney Cox and David Schwimmer,Apple TV+,Japan,Spanish,TV-MA,Released,tt8427316,https://example.com/posters/tv_33.jpg,melancholic,weekend_marathon,"melancholic,weekend_marathon,mystery"
TV_00034,The Chronicles,TV Special,Adventure,1981,1983.0,174,4,56,8.4,132467,A exciting adventure tv special perfect for sunny_day. This exciting series explores themes of love.,Director Smith,Courteney Cox and David Schwimmer,Hulu,Canada,Korean,TV-MA,Released,tt9528136,https://example.com/posters/tv_34.jpg,exciting,sunny_day,"exciting,sunny_day,adventure"
TV_00035,A Chronicles,TV Series,Reality,1999,2006.0,71,11,53,4.8,571058,A inspiring reality tv series perfect for study_break. This inspiring series explores themes of love.,Director Williams,Matthew Perry and Matt LeBlanc,Amazon Prime,Sweden,Korean,TV-G,Cancelled,tt6393574,https://example.com/posters/tv_35.jpg,inspiring,study_break,"inspiring,study_break,reality"
TV_00036,The Chronicles,Documentary Series,Documentary,1971,,104,13,43,5.8,533581,A dramatic documentary documentary series perfect for sunny_day. This dramatic series explores themes of redemption.,Director Brown,Matthew Perry and Matt LeBlanc,BBC,Denmark,Spanish,TV-G,Released,tt1207126,https://example.com/posters/tv_36.jpg,dramatic,sunny_day,"dramatic,sunny_day,documentary"
TV_00037,In Show,TV Special,Adventure,1996,2004.0,82,2,36,3.8,722981,A romantic adventure tv special perfect for background_noise. This romantic series explores themes of mystery.,Director Johnson,Jennifer Aniston and David Schwimmer,Hulu,Italy,French,TV-PG,Cancelled,tt5266134,https://example.com/posters/tv_37.jpg,romantic,background_noise,"romantic,background_noise,adventure"
TV_00038,In Tales,Documentary Series,Adventure,2009,2012.0,191,14,31,8.2,871987,A romantic adventure documentary series perfect for background_noise. This romantic series explores themes of redemption.,Director Williams,Courteney Cox and David Schwimmer,CBS,USA,Korean,TV-MA,Ongoing,tt5038936,https://example.com/posters/tv_38.jpg,romantic,background_noise,"romantic,background_noise,adventure"
TV_00039,Beyond Show,TV Movie,Romance,1996,1997.0,132,4,31,3.9,732661,A melancholic romance tv movie perfect for sunny_day. This melancholic series explores themes of mystery.,Director Williams,Courteney Cox and Matt LeBlanc,Peacock,India,French,TV-PG,Cancelled,tt5873296,https://example.com/posters/tv_39.jpg,melancholic,sunny_day,"melancholic,sunny_day,romance"
TV_00040,The Tales,TV Series,Biography,1996,2001.0,200,13,42,6.5,245313,A melancholic biography tv series perfect for date_night. This melancholic series explores themes of adventure.,Director Brown,Jennifer Aniston and Lisa Kudrow,Disney+,Sweden,French,TV-MA,Released,tt6173759,https://example.com/posters/tv_40.jpg,melancholic,date_night,"melancholic,date_night,biography"
TV_00041,A Show,TV Special,Biography,1941,1944.0,155,11,53,9.2,94707,A intense biography tv special perfect for binge_watching. This intense series explores themes of mystery.,Director Johnson,Jennifer Aniston and Matt LeBlanc,Apple TV+,Denmark,Korean,TV-14,Cancelled,tt8837866,https://example.com/posters/tv_41.jpg,intense,binge_watching,"intense,binge_watching,biography"
TV_00042,In Series,TV Mini Series,Documentary,1966,1968.0,82,14,52,6.3,1466,A dark documentary tv mini series perfect for date_night. This dark series explores themes of friendship.,Director Smith,Matthew Perry and Lisa Kudrow,HBO,Denmark,Spanish,TV-14,Ongoing,tt2057298,https://example.com/posters/tv_42.jpg,dark,date_night,"dark,date_night,documentary"
TV_00043,True Saul,TV Series,Crime,2020,,185,3,47,6.9,702082,A lighthearted crime tv series perfect for cozy_night. This lighthearted series explores themes of redemption.,Director Smith,Matthew Perry and Lisa Kudrow,Netflix,France,French,TV-MA,Ongoing,tt5513005,https://example.com/posters/tv_43.jpg,lighthearted,cozy_night,"lighthearted,cozy_night,crime"
TV_00044,Beyond Series,TV Special,Documentary,1983,1986.0,167,2,28,8.0,83120,A lighthearted documentary tv special perfect for binge_watching. This lighthearted series explores themes of love.,Director Johnson,Courteney Cox and Matt LeBlanc,Netflix,Italy,Spanish,TV-PG,Cancelled,tt1560270,https://example.com/posters/tv_44.jpg,lighthearted,binge_watching,"lighthearted,binge_watching,documentary"
TV_00045,A Series,TV Movie,Reality,1942,1946.0,65,13,40,6.1,910841,A thoughtful reality tv movie perfect for focused_watching. This thoughtful series explores themes of love.,Director Brown,Courteney Cox and David Schwimmer,Apple TV+,Brazil,Japanese,TV-MA,Cancelled,tt8499101,https://example.com/posters/tv_45.jpg,thoughtful,focused_watching,"thoughtful,focused_watching,reality"
TV_00046,Breaking Wire,TV Movie,Crime,1953,,52,8,26,5.3,942729,A dramatic crime tv movie perfect for focused_watching. This dramatic series explores themes of love.,Director Johnson,Jennifer Aniston and David Schwimmer,Starz,Italy,Korean,TV-MA,Released,tt4368662,https://example.com/posters/tv_46.jpg,dramatic,focused_watching,"dramatic,focused_watching,crime"
TV_00047,A Series,Documentary Series,Documentary,1977,,74,8,40,5.9,91297,A uplifting documentary documentary series perfect for family_time. This uplifting series explores themes of mystery.,Director Brown,Courteney Cox and Matt LeBlanc,BBC,Sweden,Spanish,TV-MA,Released,tt3116436,https://example.com/posters/tv_47.jpg,uplifting,family_time,"uplifting,family_time,documentary"
TV_00048,A Chronicles,TV Movie,Thriller,1954,1962.0,23,5,30,4.9,689441,A uplifting thriller tv movie perfect for binge_watching. This uplifting series explores themes of mystery.,Director Davis,Matthew Perry and Matt LeBlanc,Hulu,India,English,TV-14,Ongoing,tt4162983,https://example.com/posters/tv_48.jpg,uplifting,binge_watching,"uplifting,binge_watching,thriller"
TV_00049,In Chronicles,TV Series,War,1982,,161,13,36,3.8,869692,A thoughtful war tv series perfect for focused_watching. This thoughtful series explores themes of discovery.,Director Brown,Courteney Cox and Lisa Kudrow,Disney+,Spain,Spanish,TV-PG,Ongoing,tt5764199,https://example.com/posters/tv_49.jpg,thoughtful,focused_watching,"thoughtful,focused_watching,war"
TV_00050,In Tales,TV Special,Documentary,1998,2008.0,75,3,56,4.3,637381,A mysterious documentary tv special perfect for family_time. This mysterious series explores themes of adventure.,Director Brown,Jennifer Aniston and David Schwimmer,Paramount+,Italy,Japanese,TV-14,Cancelled,tt3217089,https://example.com/posters/tv_50.jpg,mysterious,family_time,"mysterious,family_time,documentary"
TV_00051,The Saul,TV Mini Series,Crime,1958,1960.0,192,14,41,6.9,1426,A funny crime tv mini series perfect for family_time. This funny series explores themes of redemption.,Director Johnson,Jennifer Aniston and Lisa Kudrow,FX,Sweden,Japanese,TV-MA,Released,tt2083755,https://example.com/posters/tv_51.jpg,funny,family_time,"funny,family_time,crime"
TV_00052,Beyond Chronicles,TV Series,Fantasy,1990,1996.0,6,8,50,9.0,137257,A dark fantasy tv series perfect for study_break. This dark series explores themes of mystery.,Director Johnson,Courteney Cox and Matt LeBlanc,NBC,Canada,Korean,TV-PG,Cancelled,tt9683793,https://example.com/posters/tv_52.jpg,dark,study_break,"dark,study_break,fantasy"
TV_00053,In Chronicles,Documentary Series,History,1972,1974.0,11,9,39,3.2,767094,A intense history documentary series perfect for rainy_day. This intense series explores themes of friendship.,Director Brown,Jennifer Aniston and David Schwimmer,Showtime,Norway,Korean,TV-MA,Ended,tt1676001,https://example.com/posters/tv_53.jpg,intense,rainy_day,"intense,rainy_day,history"
TV_00054,A Tales,TV Series,History,1992,2000.0,180,10,58,7.2,857632,A intense history tv series perfect for workout. This intense series explores themes of redemption.,Director Johnson,Matthew Perry and Matt LeBlanc,Peacock,Denmark,Spanish,TV-MA,Ongoing,tt7828099,https://example.com/posters/tv_54.jpg,intense,workout,"intense,workout,history"
TV_00055,Beyond Tales,TV Mini Series,Horror,2023,2028.0,111,10,55,4.7,221297,A funny horror tv mini series perfect for bedtime. This funny series explores themes of redemption.,Director Johnson,Courteney Cox and David Schwimmer,ABC,India,French,TV-G,Released,tt9674200,https://example.com/posters/tv_55.jpg,funny,bedtime,"funny,bedtime,horror"
TV_00056,Beyond Show,TV Mini Series,Musical,1966,1975.0,137,9,30,5.8,558135,A uplifting musical tv mini series perfect for bedtime. This uplifting series explores themes of discovery.,Director Williams,Jennifer Aniston and Matt LeBlanc,ABC,USA,Korean,TV-MA,Ended,tt5744914,https://example.com/posters/tv_56.jpg,uplifting,bedtime,"uplifting,bedtime,musical"
TV_00057,The Tales,Documentary Series,Fantasy,1943,1945.0,87,5,26,7.3,272586,A romantic fantasy documentary series perfect for family_time. This romantic series explores themes of adventure.,Director Smith,Jennifer Aniston and David Schwimmer,Apple TV+,UK,French,TV-G,Ended,tt7294113,https://example.com/posters/tv_57.jpg,romantic,family_time,"romantic,family_time,fantasy"
TV_00058,In Show,TV Mini Series,Romance,1956,1961.0,71,2,25,8.8,566782,A dramatic romance tv mini series perfect for sunny_day. This dramatic series explores themes of redemption.,Director Brown,Jennifer Aniston and David Schwimmer,Showtime,France,Japanese,TV-G,Ongoing,tt5454032,https://example.com/posters/tv_58.jpg,dramatic,sunny_day,"dramatic,sunny_day,romance"
TV_00059,In Chronicles,TV Series,History,2011,2020.0,196,8,31,8.7,337182,A intense history tv series perfect for bedtime. This intense series explores themes of redemption.,Director Smith,Matthew Perry and David Schwimmer,Hulu,Norway,Korean,TV-14,Released,tt3402487,https://example.com/posters/tv_59.jpg,intense,bedtime,"intense,bedtime,history"
TV_00060,Beyond Tales,Documentary Series,Biography,2010,,37,3,59,5.4,259450,A romantic biography documentary series perfect for rainy_day. This romantic series explores themes of mystery.,Director Williams,Matthew Perry and Matt LeBlanc,AMC,Mexico,Japanese,TV-G,Cancelled,tt3964534,https://example.com/posters/tv_60.jpg,romantic,rainy_day,"romantic,rainy_day,biography"
TV_00061,Better Call Wire,Documentary Series,Crime,1962,1966.0,81,14,54,6.1,614209,A uplifting crime documentary series perfect for cozy_night. This uplifting series explores themes of love.,Director Smith,Jennifer Aniston and David Schwimmer,Amazon Prime,India,French,TV-14,Cancelled,tt4519437,https://example.com/posters/tv_61.jpg,uplifting,cozy_night,"uplifting,cozy_night,crime"
TV_00062,In Chronicles,TV Movie,Musical,1942,,103,10,44,6.0,584865,A dark musical tv movie perfect for date_night. This dark series explores themes of adventure.,Director Williams,Jennifer Aniston and Lisa Kudrow,Apple TV+,Spain,English,TV-G,Ended,tt4577208,https://example.com/posters/tv_62.jpg,dark,date_night,"dark,date_night,musical"
TV_00063,The Tales,TV Special,Musical,1984,1992.0,156,3,24,7.2,347736,A calm musical tv special perfect for workout. This calm series explores themes of adventure.,Director Smith,Courteney Cox and Lisa Kudrow,CBS,Australia,Korean,TV-G,Released,tt2330205,https://example.com/posters/tv_63.jpg,calm,workout,"calm,workout,musical"
TV_00064,The Tales,TV Special,Mystery,2021,2029.0,54,1,37,3.9,669312,A exciting mystery tv special perfect for focused_watching. This exciting series explores themes of adventure.,Director Williams,Matthew Perry and Lisa Kudrow,HBO,Spain,Spanish,TV-G,Cancelled,tt1576535,https://example.com/posters/tv_64.jpg,exciting,focused_watching,"exciting,focused_watching,mystery"
TV_00065,Beyond Tales,TV Series,Romance,2000,2002.0,45,13,56,8.9,252398,A inspiring romance tv series perfect for rainy_day. This inspiring series explores themes of redemption.,Director Davis,Courteney Cox and Lisa Kudrow,NBC,France,Spanish,TV-14,Ongoing,tt1154356,https://example.com/posters/tv_65.jpg,inspiring,rainy_day,"inspiring,rainy_day,romance"
TV_00066,A Show,TV Movie,Mystery,1947,1952.0,104,13,34,3.8,896045,A exciting mystery tv movie perfect for binge_watching. This exciting series explores themes of friendship.,Director Johnson,Jennifer Aniston and David Schwimmer,FX,Italy,Spanish,TV-MA,Ended,tt1594510,https://example.com/posters/tv_66.jpg,exciting,binge_watching,"exciting,binge_watching,mystery"
TV_00067,Game of Bad,Documentary Series,Drama,2013,2017.0,59,1,47,6.4,61139,A funny drama documentary series perfect for workout. This funny series explores themes of adventure.,Director Johnson,Courteney Cox and David Schwimmer,BBC,Japan,Korean,TV-MA,Ended,tt7774352,https://example.com/posters/tv_67.jpg,funny,workout,"funny,workout,drama"
TV_00068,Beyond Tales,TV Special,War,2016,,145,12,56,6.9,634777,A calm war tv special perfect for binge_watching. This calm series explores themes of mystery.,Director Brown,Jennifer Aniston and David Schwimmer,HBO,France,English,TV-G,Released,tt7277683,https://example.com/posters/tv_68.jpg,calm,binge_watching,"calm,binge_watching,war"
TV_00069,Beyond Show,Documentary Series,Musical,1995,,134,15,28,6.7,30588,A calm musical documentary series perfect for weekend_marathon. This calm series explores themes of adventure.,Director Williams,Matthew Perry and Lisa Kudrow,Starz,Norway,Korean,TV-14,Ongoing,tt3093264,https://example.com/posters/tv_69.jpg,calm,weekend_marathon,"calm,weekend_marathon,musical"
TV_00070,A Series,TV Special,Western,2022,2031.0,123,15,24,4.3,9444,A inspiring western tv special perfect for rainy_day. This inspiring series explores themes of redemption.,Director Davis,Matthew Perry and David Schwimmer,Amazon Prime,Spain,Japanese,TV-G,Cancelled,tt5744685,https://example.com/posters/tv_70.jpg,inspiring,rainy_day,"inspiring,rainy_day,western"
TV_00071,The Series,TV Movie,Romance,2000,2009.0,122,5,56,5.7,216523,A dramatic romance tv movie perfect for background_noise. This dramatic series explores themes of redemption.,Director Davis,Jennifer Aniston and Matt LeBlanc,Hulu,UK,Japanese,TV-G,Cancelled,tt2438260,https://example.com/posters/tv_71.jpg,dramatic,background_noise,"dramatic,background_noise,romance"
TV_00072,The Detective,TV Movie,Crime,1981,1982.0,64,12,28,5.4,868143,A calm crime tv movie perfect for study_break. This calm series explores themes of redemption.,Director Smith,Matthew Perry and Matt LeBlanc,Peacock,Canada,French,TV-MA,Ongoing,tt1510514,https://example.com/posters/tv_72.jpg,calm,study_break,"calm,study_break,crime"
TV_00073,Beyond Chronicles,TV Special,Thriller,1968,1970.0,52,3,27,4.9,824244,A exciting thriller tv special perfect for cozy_night. This exciting series explores themes of love.,Director Johnson,Matthew Perry and David Schwimmer,BBC,Canada,English,TV-MA,Ongoing,tt4642104,https://example.com/posters/tv_73.jpg,exciting,cozy_night,"exciting,cozy_night,thriller"
TV_00074,Beyond Chronicles,TV Series,Documentary,1999,2006.0,75,8,41,7.9,194711,A funny documentary tv series perfect for study_break. This funny series explores themes of adventure.,Director Brown,Jennifer Aniston and Matt LeBlanc,Paramount+,UK,Spanish,TV-PG,Released,tt2041374,https://example.com/posters/tv_74.jpg,funny,study_break,"funny,study_break,documentary"
TV_00075,The Series,TV Mini Series,War,1948,1951.0,9,13,45,7.8,787592,A uplifting war tv mini series perfect for sunny_day. This uplifting series explores themes of adventure.,Director Johnson,Matthew Perry and Lisa Kudrow,Apple TV+,Australia,French,TV-14,Released,tt8669997,https://example.com/posters/tv_75.jpg,uplifting,sunny_day,"uplifting,sunny_day,war"
TV_00076,A Series,TV Special,Mystery,1995,1997.0,169,10,46,7.7,529112,A dark mystery tv special perfect for focused_watching. This dark series explores themes of love.,Director Brown,Matthew Perry and Matt LeBlanc,HBO,Denmark,French,TV-PG,Ongoing,tt8244955,https://example.com/posters/tv_76.jpg,dark,focused_watching,"dark,focused_watching,mystery"
TV_00077,Beyond Chronicles,TV Special,History,1999,2007.0,145,3,37,3.5,429470,A uplifting history tv special perfect for study_break. This uplifting series explores themes of mystery.,Director Johnson,Jennifer Aniston and Lisa Kudrow,Apple TV+,South Korea,Japanese,TV-G,Released,tt7483399,https://example.com/posters/tv_77.jpg,uplifting,study_break,"uplifting,study_break,history"
TV_00078,The Office,TV Series,Comedy,1997,,84,7,41,6.5,260626,A dramatic comedy tv series perfect for background_noise. This dramatic series explores themes of discovery.,Director Williams,Jennifer Aniston and David Schwimmer,AMC,Australia,French,TV-G,Ended,tt9750604,https://example.com/posters/tv_78.jpg,dramatic,background_noise,"dramatic,background_noise,comedy"
TV_00079,A Chronicles,TV Movie,Sport,1946,1950.0,13,1,60,3.6,704048,A funny sport tv movie perfect for family_time. This funny series explores themes of discovery.,Director Smith,Courteney Cox and David Schwimmer,Disney+,France,Spanish,TV-G,Cancelled,tt7305966,https://example.com/posters/tv_79.jpg,funny,family_time,"funny,family_time,sport"
TV_00080,A Series,TV Movie,History,2022,,85,10,51,3.0,400579,A dramatic history tv movie perfect for rainy_day. This dramatic series explores themes of mystery.,Director Davis,Courteney Cox and Lisa Kudrow,HBO,USA,French,TV-14,Released,tt3830476,https://example.com/posters/tv_80.jpg,dramatic,rainy_day,"dramatic,rainy_day,history"
