book_id,title,author,genre,published_year,pages,description,publisher,language,average_rating,ratings_count,isbn13,isbn10,thumbnail_url,downloads,mood,reading_condition,keywords
BOOK_00024,The Story,Zadie Smith,Non-Fiction,1975,529,An uplifting non-fiction book perfect for winter_read. This uplifting story explores themes of growth.,Hachette,English,3.2,93138,9787281284296642,8377321145,https://example.com/covers/book_24.jpg,828616,uplifting,winter_read,"uplifting,winter_read,non-fiction"
BOOK_00025,The Journey,Toni Morrison,Science,1970,634,An dramatic science book perfect for travel. This dramatic story explores themes of discovery.,Oxford University Press,English,3.2,79127,9787391883772630,2597050701,https://example.com/covers/book_25.jpg,241778,dramatic,travel,"dramatic,travel,science"
BOOK_00026,The Lost Puzzle,Toni Morrison,Mystery,1979,346,An relaxing mystery book perfect for morning_read. This relaxing story explores themes of love.,Scholastic,English,4.0,45432,9787702531759968,3805016121,https://example.com/covers/book_26.jpg,111308,relaxing,morning_read,"relaxing,morning_read,mystery"
BOOK_00027,A Story,Mark Twain,Non-Fiction,1960,515,An humorous non-fiction book perfect for rainy_day. This humorous story explores themes of discovery.,HarperCollins,English,3.0,40839,9787814369289791,5465514761,https://example.com/covers/book_27.jpg,203151,humorous,rainy_day,"humorous,rainy_day,non-fiction"
BOOK_00028,In Adventure,Stephen King,Thriller,1964,287,An peaceful thriller book perfect for morning_read. This peaceful story explores themes of adventure.,Oxford University Press,English,3.1,34675,9782976229413765,1154365830,https://example.com/covers/book_28.jpg,281671,peaceful,morning_read,"peaceful,morning_read,thriller"
BOOK_00029,A Quest,Ernest Hemingway,Travel,2025,779,An dramatic travel book perfect for cozy_night. This dramatic story explores themes of love.,Scholastic,English,3.2,64943,9783659127774166,1847202103,https://example.com/covers/book_29.jpg,192507,dramatic,cozy_night,"dramatic,cozy_night,travel"
BOOK_00030,In Story,Zadie Smith,Cooking,1987,192,An uplifting cooking book perfect for beach_read. This uplifting story explores themes of discovery.,Simon & Schuster,English,5.0,46776,9785369525689522,4246562724,https://example.com/covers/book_30.jpg,859842,uplifting,beach_read,"uplifting,beach_read,cooking"
BOOK_00031,In Adventure,Mark Twain,History,1971,424,An romantic history book perfect for bedtime. This romantic story explores themes of mystery.,Oxford University Press,English,3.9,22700,9782858254371243,7257948753,https://example.com/covers/book_31.jpg,175032,romantic,bedtime,"romantic,bedtime,history"
BOOK_00032,A Journey,Gabriel Garcia Marquez,Educational,2021,788,An uplifting educational book perfect for rainy_day. This uplifting story explores themes of adventure.,Scholastic,English,3.3,55968,9787290164532539,1551050976,https://example.com/covers/book_32.jpg,309262,uplifting,rainy_day,"uplifting,rainy_day,educational"
BOOK_00033,Beyond Adventure,J.R.R. Tolkien,Business,1978,182,An relaxing business book perfect for rainy_day. This relaxing story explores themes of friendship.,Hachette,English,4.1,94741,9788554717884697,9967765380,https://example.com/covers/book_33.jpg,21398,relaxing,rainy_day,"relaxing,rainy_day,business"
BOOK_00034,A Adventure,J.K. Rowling,Educational,2002,275,An dramatic educational book perfect for bedtime. This dramatic story explores themes of mystery.,Oxford University Press,English,4.2,78575,9788683238116568,2105021980,https://example.com/covers/book_34.jpg,342506,dramatic,bedtime,"dramatic,bedtime,educational"
BOOK_00035,Beyond Story,Toni Morrison,Non-Fiction,1997,442,An humorous non-fiction book perfect for beach_read. This humorous story explores themes of friendship.,Macmillan,English,4.9,48694,9785477738227026,8275845282,https://example.com/covers/book_35.jpg,173996,humorous,beach_read,"humorous,beach_read,non-fiction"
BOOK_00036,Love Promise,Margaret Atwood,Romance,2015,454,An romantic romance book perfect for travel. This romantic story explores themes of mystery.,Cambridge University Press,English,4.1,67318,9785199045360561,7538116278,https://example.com/covers/book_36.jpg,486871,romantic,travel,"romantic,travel,romance"
BOOK_00037,A Adventure,Virginia Woolf,Thriller,1999,449,An peaceful thriller book perfect for morning_read. This peaceful story explores themes of love.,HarperCollins,English,3.9,8353,9789421223659617,4774621352,https://example.com/covers/book_37.jpg,878652,peaceful,morning_read,"peaceful,morning_read,thriller"
BOOK_00038,In Journey,Neil Gaiman,Philosophy,2014,527,An educational philosophy book perfect for winter_read. This educational story explores themes of friendship.,Simon & Schuster,English,4.8,7511,9786019267043496,1522445406,https://example.com/covers/book_38.jpg,457971,educational,winter_read,"educational,winter_read,philosophy"
BOOK_00039,In Quest,Agatha Christie,Comedy,2000,380,An inspiring comedy book perfect for bedtime. This inspiring story explores themes of love.,Cambridge University Press,English,3.9,21546,9783689535799811,8816460092,https://example.com/covers/book_39.jpg,782389,inspiring,bedtime,"inspiring,bedtime,comedy"
BOOK_00040,The Journey,Toni Morrison,Adventure,1991,670,An romantic adventure book perfect for travel. This romantic story explores themes of discovery.,Hachette,English,4.0,45621,9786834368411085,1868421862,https://example.com/covers/book_40.jpg,306997,romantic,travel,"romantic,travel,adventure"
BOOK_00041,Beyond Journey,Chimamanda Ngozi Adichie,Fiction,1976,126,An peaceful fiction book perfect for travel. This peaceful story explores themes of discovery.,Hachette,English,3.1,65620,9785098194727346,3260623611,https://example.com/covers/book_41.jpg,796025,peaceful,travel,"peaceful,travel,fiction"
BOOK_00042,In Adventure,Virginia Woolf,Drama,2002,342,An inspiring drama book perfect for winter_read. This inspiring story explores themes of discovery.,Oxford University Press,English,4.2,64323,9786138242961531,9303401101,https://example.com/covers/book_42.jpg,462452,inspiring,winter_read,"inspiring,winter_read,drama"
BOOK_00043,The Journey,Stephen King,History,2002,160,An dramatic history book perfect for rainy_day. This dramatic story explores themes of friendship.,HarperCollins,English,4.1,24769,9785366429164264,7431261185,https://example.com/covers/book_43.jpg,109411,dramatic,rainy_day,"dramatic,rainy_day,history"
BOOK_00044,The Story,J.R.R. Tolkien,History,2000,120,An romantic history book perfect for travel. This romantic story explores themes of mystery.,Hachette,English,3.0,81478,9785239303057885,6442229966,https://example.com/covers/book_44.jpg,649607,romantic,travel,"romantic,travel,history"
BOOK_00045,In Quest,Zadie Smith,Travel,1958,683,An inspiring travel book perfect for sunny_day. This inspiring story explores themes of mystery.,Penguin Random House,English,4.8,60427,9785807425485365,5832974892,https://example.com/covers/book_45.jpg,951764,inspiring,sunny_day,"inspiring,sunny_day,travel"
BOOK_00046,The Story,Margaret Atwood,Biography,1956,424,An romantic biography book perfect for bedtime. This romantic story explores themes of discovery.,Hachette,English,3.2,23592,9781451001809084,4090352470,https://example.com/covers/book_46.jpg,582956,romantic,bedtime,"romantic,bedtime,biography"
BOOK_00047,In Adventure,Gabriel Garcia Marquez,Business,2007,459,An melancholic business book perfect for rainy_day. This melancholic story explores themes of growth.,Macmillan,English,3.8,53212,9788447602717299,2931211339,https://example.com/covers/book_47.jpg,541662,melancholic,rainy_day,"melancholic,rainy_day,business"
BOOK_00048,A Adventure,Mark Twain,Drama,1990,141,An melancholic drama book perfect for beach_read. This melancholic story explores themes of growth.,HarperCollins,English,4.3,25291,9786203566704145,3189900971,https://example.com/covers/book_48.jpg,470471,melancholic,beach_read,"melancholic,beach_read,drama"
BOOK_00049,In Quest,George R.R. Martin,Comedy,1982,440,An melancholic comedy book perfect for sunny_day. This melancholic story explores themes of love.,Macmillan,English,3.2,49671,9785847514148395,7411694468,https://example.com/covers/book_49.jpg,186933,melancholic,sunny_day,"melancholic,sunny_day,comedy"
BOOK_00050,The Quest,Neil Gaiman,Fantasy,1959,693,An exciting fantasy book perfect for sunny_day. This exciting story explores themes of discovery.,Penguin Random House,English,3.7,149,9782896148539662,1192499179,https://example.com/covers/book_50.jpg,669725,exciting,sunny_day,"exciting,sunny_day,fantasy"
BOOK_00051,A Quest,Kazuo Ishiguro,Non-Fiction,1969,759,An humorous non-fiction book perfect for cozy_night. This humorous story explores themes of discovery.,HarperCollins,English,3.7,80194,9785058820732280,9332149559,https://example.com/covers/book_51.jpg,182325,humorous,cozy_night,"humorous,cozy_night,non-fiction"
BOOK_00052,The Story,Neil Gaiman,Cooking,2024,673,An relaxing cooking book perfect for winter_read. This relaxing story explores themes of love.,Simon & Schuster,English,4.8,5608,9784661917098092,5151737810,https://example.com/covers/book_52.jpg,712646,relaxing,winter_read,"relaxing,winter_read,cooking"
BOOK_00053,The Journey,Zadie Smith,Thriller,1971,364,An inspiring thriller book perfect for rainy_day. This inspiring story explores themes of adventure.,HarperCollins,English,4.4,23248,9784948862635194,6411904594,https://example.com/covers/book_53.jpg,221347,inspiring,rainy_day,"inspiring,rainy_day,thriller"
BOOK_00054,How to Achieve Success,Agatha Christie,Self-Help,1973,755,An romantic self-help book perfect for bedtime. This romantic story explores themes of love.,Macmillan,English,4.1,78726,9781765029660302,1976862006,https://example.com/covers/book_54.jpg,784220,romantic,bedtime,"romantic,bedtime,self-help"
BOOK_00055,Beyond Journey,Gabriel Garcia Marquez,Business,1995,252,An exciting business book perfect for study_time. This exciting story explores themes of friendship.,Hachette,English,3.5,9174,9781999733271879,8335917692,https://example.com/covers/book_55.jpg,220590,exciting,study_time,"exciting,study_time,business"
BOOK_00056,In Quest,Zadie Smith,Educational,1950,608,An educational educational book perfect for rainy_day. This educational story explores themes of discovery.,Scholastic,English,3.7,82584,9787603755906115,8875158478,https://example.com/covers/book_56.jpg,278297,educational,rainy_day,"educational,rainy_day,educational"
BOOK_00057,In Adventure,Virginia Woolf,Philosophy,1968,510,An romantic philosophy book perfect for rainy_day. This romantic story explores themes of discovery.,HarperCollins,English,3.9,99303,9782895251332314,3630188663,https://example.com/covers/book_57.jpg,687232,romantic,rainy_day,"romantic,rainy_day,philosophy"
BOOK_00058,In Quest,Toni Morrison,Horror,1969,675,An melancholic horror book perfect for travel. This melancholic story explores themes of mystery.,HarperCollins,English,3.7,64089,9786265611481069,4464739320,https://example.com/covers/book_58.jpg,551030,melancholic,travel,"melancholic,travel,horror"
BOOK_00059,Forever Journey,Agatha Christie,Romance,1956,263,An exciting romance book perfect for travel. This exciting story explores themes of growth.,Macmillan,English,3.4,81066,9781360407224913,1038483228,https://example.com/covers/book_59.jpg,44782,exciting,travel,"exciting,travel,romance"
BOOK_00060,In Adventure,Ernest Hemingway,Comedy,1951,497,An exciting comedy book perfect for bedtime. This exciting story explores themes of love.,Cambridge University Press,English,4.4,4696,9786365549224586,9893759935,https://example.com/covers/book_60.jpg,95051,exciting,bedtime,"exciting,bedtime,comedy"
BOOK_00061,A Story,Kazuo Ishiguro,Comedy,1955,577,An inspiring comedy book perfect for winter_read. This inspiring story explores themes of mystery.,Oxford University Press,English,4.6,78161,9783750655495441,9902182167,https://example.com/covers/book_61.jpg,873680,inspiring,winter_read,"inspiring,winter_read,comedy"
BOOK_00062,A Quest,George R.R. Martin,Art,2009,623,An melancholic art book perfect for study_time. This melancholic story explores themes of love.,Oxford University Press,English,3.4,83082,9787041994910493,1267069896,https://example.com/covers/book_62.jpg,450976,melancholic,study_time,"melancholic,study_time,art"
BOOK_00063,The Story,Agatha Christie,Fiction,1971,714,An inspiring fiction book perfect for bedtime. This inspiring story explores themes of growth.,HarperCollins,English,4.3,20267,9788163798377081,5875197743,https://example.com/covers/book_63.jpg,664109,inspiring,bedtime,"inspiring,bedtime,fiction"
BOOK_00064,Beyond Quest,Stephen King,Educational,2021,235,An relaxing educational book perfect for travel. This relaxing story explores themes of mystery.,Oxford University Press,English,3.6,7612,9784860638206450,5841906578,https://example.com/covers/book_64.jpg,769413,relaxing,travel,"relaxing,travel,educational"
BOOK_00065,In Adventure,Haruki Murakami,Business,1968,677,An humorous business book perfect for sunny_day. This humorous story explores themes of adventure.,HarperCollins,English,3.0,48344,9785983740957867,6559340070,https://example.com/covers/book_65.jpg,651006,humorous,sunny_day,"humorous,sunny_day,business"
BOOK_00066,The Quest,Virginia Woolf,Travel,1992,633,An peaceful travel book perfect for rainy_day. This peaceful story explores themes of friendship.,Simon & Schuster,English,3.2,2586,9788220133341080,4882146465,https://example.com/covers/book_66.jpg,280603,peaceful,rainy_day,"peaceful,rainy_day,travel"
BOOK_00067,Beyond Quest,J.R.R. Tolkien,Drama,1951,221,An educational drama book perfect for sunny_day. This educational story explores themes of discovery.,Hachette,English,4.0,88144,9789341233002221,8142129393,https://example.com/covers/book_67.jpg,679886,educational,sunny_day,"educational,sunny_day,drama"
BOOK_00068,The Hidden Case,Stephen King,Mystery,2022,587,An thoughtful mystery book perfect for study_time. This thoughtful story explores themes of love.,Hachette,English,4.3,12342,9789837302080823,9620301273,https://example.com/covers/book_68.jpg,346290,thoughtful,study_time,"thoughtful,study_time,mystery"
BOOK_00069,In Adventure,Haruki Murakami,Horror,2010,717,An educational horror book perfect for rainy_day. This educational story explores themes of love.,Penguin Random House,English,4.0,51178,9784269632012041,3778802868,https://example.com/covers/book_69.jpg,855449,educational,rainy_day,"educational,rainy_day,horror"
BOOK_00070,The Hidden Mystery,Virginia Woolf,Mystery,2003,314,An dramatic mystery book perfect for rainy_day. This dramatic story explores themes of adventure.,HarperCollins,English,3.2,52256,9784874956934044,8604752529,https://example.com/covers/book_70.jpg,203385,dramatic,rainy_day,"dramatic,rainy_day,mystery"
BOOK_00071,In Quest,Zadie Smith,Adventure,1959,607,An dramatic adventure book perfect for winter_read. This dramatic story explores themes of adventure.,Cambridge University Press,English,4.2,65942,9784536218511040,5890869726,https://example.com/covers/book_71.jpg,801563,dramatic,winter_read,"dramatic,winter_read,adventure"
BOOK_00072,The Secret Puzzle,Neil Gaiman,Mystery,2013,483,An educational mystery book perfect for winter_read. This educational story explores themes of discovery.,Penguin Random House,English,4.7,83933,9788607604763471,4491147718,https://example.com/covers/book_72.jpg,120826,educational,winter_read,"educational,winter_read,mystery"
BOOK_00073,A Story,Mark Twain,History,2025,180,An uplifting history book perfect for rainy_day. This uplifting story explores themes of growth.,Oxford University Press,English,4.1,35152,9782933333942748,9018444066,https://example.com/covers/book_73.jpg,866097,uplifting,rainy_day,"uplifting,rainy_day,history"
BOOK_00074,Beyond Adventure,Zadie Smith,Biography,1958,446,An mysterious biography book perfect for sunny_day. This mysterious story explores themes of adventure.,Scholastic,English,3.7,37789,9782901132800209,5152731760,https://example.com/covers/book_74.jpg,400254,mysterious,sunny_day,"mysterious,sunny_day,biography"
BOOK_00075,The Journey,Margaret Atwood,History,1980,742,An mysterious history book perfect for study_time. This mysterious story explores themes of friendship.,Cambridge University Press,English,4.5,18399,9783863229846529,6312567692,https://example.com/covers/book_75.jpg,687407,mysterious,study_time,"mysterious,study_time,history"
BOOK_00076,In Story,Kazuo Ishiguro,Drama,1954,183,An uplifting drama book perfect for sunny_day. This uplifting story explores themes of discovery.,Cambridge University Press,English,4.9,21348,9786475201680229,4645648986,https://example.com/covers/book_76.jpg,531953,uplifting,sunny_day,"uplifting,sunny_day,drama"
BOOK_00077,Beyond Journey,Haruki Murakami,Art,1952,499,An educational art book perfect for morning_read. This educational story explores themes of growth.,Macmillan,English,3.5,82724,9785531454116879,9182052300,https://example.com/covers/book_77.jpg,677646,educational,morning_read,"educational,morning_read,art"
BOOK_00078,Forever Story,Agatha Christie,Romance,1990,551,An mysterious romance book perfect for beach_read. This mysterious story explores themes of love.,Simon & Schuster,English,4.6,816,9781367433510778,1093746317,https://example.com/covers/book_78.jpg,314295,mysterious,beach_read,"mysterious,beach_read,romance"
BOOK_00079,The Journey,Zadie Smith,Thriller,1958,669,An inspiring thriller book perfect for winter_read. This inspiring story explores themes of discovery.,Macmillan,English,4.9,95455,9786494180942619,6238842183,https://example.com/covers/book_79.jpg,355419,inspiring,winter_read,"inspiring,winter_read,thriller"
BOOK_00080,The Story,Toni Morrison,Art,1986,558,An melancholic art book perfect for sunny_day. This melancholic story explores themes of discovery.,Oxford University Press,English,4.3,24131,9788478971177394,8936958207,https://example.com/covers/book_80.jpg,66441,melancholic,sunny_day,"melancholic,sunny_day,art"
BOOK_00081,In Adventure,Mark Twain,History,2005,624,An educational history book perfect for study_time. This educational story explores themes of friendship.,Scholastic,English,3.7,67950,9787991013287577,9769500116,https://example.com/covers/book_81.jpg,594820,educational,study_time,"educational,study_time,history"
BOOK_00082,Beyond Future,Jane Austen,Sci-Fi,1971,576,An romantic sci-fi book perfect for winter_read. This romantic story explores themes of growth.,Cambridge University Press,English,3.9,61713,9786957766582810,4738670056,https://example.com/covers/book_82.jpg,846606,romantic,winter_read,"romantic,winter_read,sci-fi"
BOOK_00083,Beyond Adventure,Chimamanda Ngozi Adichie,Business,2011,410,An exciting business book perfect for winter_read. This exciting story explores themes of mystery.,Macmillan,English,3.6,4753,9784176069706405,7458598286,https://example.com/covers/book_83.jpg,552053,exciting,winter_read,"exciting,winter_read,business"
BOOK_00084,The Story,George R.R. Martin,Thriller,2022,345,An educational thriller book perfect for rainy_day. This educational story explores themes of love.,Macmillan,English,3.5,52218,9789562634708907,2979914883,https://example.com/covers/book_84.jpg,358787,educational,rainy_day,"educational,rainy_day,thriller"
BOOK_00085,A Journey,J.R.R. Tolkien,Non-Fiction,1999,175,An mysterious non-fiction book perfect for study_time. This mysterious story explores themes of adventure.,Penguin Random House,English,4.2,6690,9784472450817134,4041122758,https://example.com/covers/book_85.jpg,295211,mysterious,study_time,"mysterious,study_time,non-fiction"
BOOK_00086,In Journey,Mark Twain,Non-Fiction,1987,604,An mysterious non-fiction book perfect for sunny_day. This mysterious story explores themes of mystery.,Macmillan,English,3.3,53428,9785008038426556,8163018488,https://example.com/covers/book_86.jpg,516443,mysterious,sunny_day,"mysterious,sunny_day,non-fiction"
BOOK_00087,In Quest,Gabriel Garcia Marquez,Philosophy,2007,361,An melancholic philosophy book perfect for cozy_night. This melancholic story explores themes of growth.,Simon & Schuster,English,3.7,84640,9789719742540661,8693745734,https://example.com/covers/book_87.jpg,191121,melancholic,cozy_night,"melancholic,cozy_night,philosophy"
BOOK_00088,A Quest,Zadie Smith,Fiction,1983,340,An romantic fiction book perfect for travel. This romantic story explores themes of discovery.,HarperCollins,English,3.0,80601,9785894450135054,7602461253,https://example.com/covers/book_88.jpg,549320,romantic,travel,"romantic,travel,fiction"
BOOK_00089,In Journey,Virginia Woolf,Comedy,1964,346,An exciting comedy book perfect for winter_read. This exciting story explores themes of adventure.,Oxford University Press,English,5.0,35120,9787233686445851,9899108784,https://example.com/covers/book_89.jpg,748234,exciting,winter_read,"exciting,winter_read,comedy"
BOOK_00090,Beyond Adventure,Chimamanda Ngozi Adichie,Biography,1971,101,An uplifting biography book perfect for cozy_night. This uplifting story explores themes of adventure.,Oxford University Press,English,4.9,55700,9786986903336254,7593442120,https://example.com/covers/book_90.jpg,221119,uplifting,cozy_night,"uplifting,cozy_night,biography"
BOOK_00091,How to Discover Success,Stephen King,Self-Help,2008,436,An melancholic self-help book perfect for rainy_day. This melancholic story explores themes of love.,Scholastic,English,4.0,56242,9789210567290165,5945522912,https://example.com/covers/book_91.jpg,685961,melancholic,rainy_day,"melancholic,rainy_day,self-help"
BOOK_00092,In Adventure,Haruki Murakami,Philosophy,1968,615,An peaceful philosophy book perfect for sunny_day. This peaceful story explores themes of mystery.,Macmillan,English,3.7,51865,9783111297011533,4176445423,https://example.com/covers/book_92.jpg,370332,peaceful,sunny_day,"peaceful,sunny_day,philosophy"
BOOK_00093,The Lost Puzzle,Toni Morrison,Mystery,1950,539,An dramatic mystery book perfect for winter_read. This dramatic story explores themes of growth.,Simon & Schuster,English,4.1,82550,9787795357455333,6726157875,https://example.com/covers/book_93.jpg,956918,dramatic,winter_read,"dramatic,winter_read,mystery"
BOOK_00094,A Story,Ernest Hemingway,Business,2022,708,An thoughtful business book perfect for cozy_night. This thoughtful story explores themes of adventure.,Scholastic,English,4.2,81704,9785304323066342,4738391889,https://example.com/covers/book_94.jpg,691070,thoughtful,cozy_night,"thoughtful,cozy_night,business"
BOOK_00095,Beyond Adventure,Toni Morrison,Fiction,1993,185,An dramatic fiction book perfect for bedtime. This dramatic story explores themes of mystery.,HarperCollins,English,3.3,27351,9785842876398471,6914680246,https://example.com/covers/book_95.jpg,778879,dramatic,bedtime,"dramatic,bedtime,fiction"
BOOK_00096,The Adventure,Gabriel Garcia Marquez,Comedy,1987,736,An educational comedy book perfect for winter_read. This educational story explores themes of adventure.,Macmillan,English,3.6,51795,9786171650219524,4780969561,https://example.com/covers/book_96.jpg,347807,educational,winter_read,"educational,winter_read,comedy"
BOOK_00097,In Journey,Chimamanda Ngozi Adichie,Horror,1951,345,An thoughtful horror book perfect for study_time. This thoughtful story explores themes of friendship.,Hachette,English,3.9,46216,9783616072528680,9704550136,https://example.com/covers/book_97.jpg,632146,thoughtful,study_time,"thoughtful,study_time,horror"
BOOK_00098,In Quest,Haruki Murakami,History,1975,108,An exciting history book perfect for study_time. This exciting story explores themes of love.,Oxford University Press,English,4.9,85180,9786022766272212,3258644220,https://example.com/covers/book_98.jpg,975751,exciting,study_time,"exciting,study_time,history"
BOOK_00099,In Quest,Chimamanda Ngozi Adichie,History,1963,190,An uplifting history book perfect for bedtime. This uplifting story explores themes of friendship.,HarperCollins,English,4.6,29084,9785743598203762,8617533861,https://example.com/covers/book_99.jpg,17489,uplifting,bedtime,"uplifting,bedtime,history"
BOOK_00100,The Story,Virginia Woolf,Horror,2009,614,An thoughtful horror book perfect for cozy_night. This thoughtful story explores themes of mystery.,Penguin Random House,English,3.5,85825,9783709217255209,9079123293,https://example.com/covers/book_100.jpg,352010,thoughtful,cozy_night,"thoughtful,cozy_night,horror"
