domain,id,title,mood_score,weather_score,time_score,activity_score,normalized_rating,popularity_score,description_length,processed_description,genre,year_normalized
movies,MOV_00043,Battle Fire,6,1,2,0,0.70769227,1.0,19,uplifting action film thats perfect rainy evening directed ava duvernay movie explores themes love,Action,0.05882353
movies,MOV_00044,The Story,4,4,4,0,0.9230769,1.0,19,romantic adventure film thats perfect stormy latenight directed quentin tarantino movie explores themes mystery,Adventure,-0.9411765
movies,MOV_00045,In Journey,5,1,4,0,0.5846154,0.21853,19,melancholic documentary film thats perfect rainy latenight directed tim burton movie explores themes friendship,Documentary,-0.2647059
movies,MOV_00046,In Quest,10,2,0,0,0.8615385,1.0,19,mysterious history film thats perfect snowy morning directed jordan peele movie explores themes mystery,History,-1.1470588
movies,MOV_00047,Beyond Quest,6,1,4,0,0.36923078,1.0,19,uplifting family film thats perfect rainy latenight directed ryan coogler movie explores themes mystery,Family,0.44117647
movies,MOV_00048,Night Whisper,4,4,0,0,0.5538461,0.97836,19,romantic horror film thats perfect stormy morning directed david fincher movie explores themes love,Horror,-1.382353
movies,MOV_00049,A Quest,0,1,3,0,0.18461536,1.0,19,funny documentary film thats perfect rainy night directed taika waititi movie explores themes redemption,Documentary,0.32352942
movies,MOV_00050,Beyond Story,0,4,3,0,0.33846152,1.0,19,dark musical film thats perfect stormy night directed bong joonho movie explores themes mystery,Musical,0.7058824
movies,MOV_00051,Silly Mishaps,0,5,1,0,0.49230766,0.38917,19,inspiring comedy film thats perfect foggy afternoon directed ridley scott movie explores themes friendship,Comedy,-0.29411766
movies,MOV_00052,The Quest,4,2,4,0,0.6923077,1.0,19,romantic documentary film thats perfect snowy latenight directed martin scorsese movie explores themes adventure,Documentary,0.9705882
movies,MOV_00053,In Story,18,0,3,0,0.9846153,1.0,19,intense fantasy film thats perfect sunny night directed quentin tarantino movie explores themes mystery,Fantasy,0.88235295
movies,MOV_00054,Beyond Story,2,1,0,0,0.61538464,1.0,19,energetic documentary film thats perfect rainy morning directed david fincher movie explores themes mystery,Documentary,-0.9411765
movies,MOV_00055,A Journey,0,2,4,0,0.2923077,1.0,19,dark biography film thats perfect snowy latenight directed tim burton movie explores themes mystery,Biography,-0.4117647
movies,MOV_00056,In Journey,8,3,2,0,0.0153846005,1.0,19,peaceful musical film thats perfect cloudy evening directed steven spielberg movie explores themes friendship,Musical,-0.38235295
movies,MOV_00057,Love Dream,0,0,4,0,0.36923078,1.0,19,dark romance film thats perfect sunny latenight directed martin scorsese movie explores themes adventure,Romance,0.88235295
movies,MOV_00058,Beyond Dream,18,2,0,0,0.46153846,0.79057,19,intense adventure film thats perfect snowy morning directed ridley scott movie explores themes redemption,Adventure,-0.85294116
movies,MOV_00059,In Quest,8,2,0,0,0.6769231,1.0,19,peaceful biography film thats perfect snowy morning directed christopher nolan movie explores themes friendship,Biography,-0.0882353
movies,MOV_00060,The Shadow,0,0,0,0,0.23076923,1.0,19,dark horror film thats perfect sunny morning directed ridley scott movie explores themes mystery,Horror,-0.9705882
movies,MOV_00061,In Journey,18,2,1,0,0.44615385,1.0,19,intense history film thats perfect snowy afternoon directed david fincher movie explores themes adventure,History,0.8235294
movies,MOV_00062,The Journey,10,1,1,0,0.78461546,1.0,19,mysterious drama film thats perfect rainy afternoon directed martin scorsese movie explores themes friendship,Drama,1.0
movies,MOV_00063,Heart Story,8,0,1,0,0.0153846005,1.0,19,peaceful romance film thats perfect sunny afternoon directed david fincher movie explores themes friendship,Romance,0.5588235
movies,MOV_00064,In Journey,0,4,1,0,0.9384616,0.45571,19,dark drama film thats perfect stormy afternoon directed taika waititi movie explores themes adventure,Drama,0.29411766
movies,MOV_00065,A Journey,2,2,4,0,0.6307692,1.0,19,energetic drama film thats perfect snowy latenight directed denis villeneuve movie explores themes mystery,Drama,-1.1764706
movies,MOV_00066,Beyond Story,0,2,3,0,0.39999998,1.0,19,inspiring western film thats perfect snowy night directed quentin tarantino movie explores themes adventure,Western,-0.6764706
movies,MOV_00067,In Story,0,0,4,0,0.9538461,1.0,19,funny drama film thats perfect sunny latenight directed denis villeneuve movie explores themes love,Drama,0.14705883
movies,MOV_00068,A Story,8,3,1,0,0.84615386,1.0,19,peaceful animation film thats perfect cloudy afternoon directed bong joonho movie explores themes adventure,Animation,-1.0882353
movies,MOV_00069,Mission Fire,10,0,1,0,0.876923,1.0,19,mysterious action film thats perfect sunny afternoon directed greta gerwig movie explores themes love,Action,-0.7941176
movies,MOV_00070,In Dream,11,4,0,0,0.876923,1.0,19,dramatic mystery film thats perfect stormy morning directed james cameron movie explores themes friendship,Mystery,-0.88235295
movies,MOV_00071,The Dream,0,0,2,0,0.6769231,1.0,19,inspiring documentary film thats perfect sunny evening directed ryan coogler movie explores themes friendship,Documentary,-0.47058824
movies,MOV_00072,In Dream,10,0,0,0,0.49230766,1.0,19,mysterious scifi film thats perfect sunny morning directed james cameron movie explores themes redemption,Sci-Fi,-0.9705882
movies,MOV_00073,Beyond Quest,18,5,3,0,0.2923077,1.0,19,intense drama film thats perfect foggy night directed christopher nolan movie explores themes adventure,Drama,-0.29411766
movies,MOV_00074,In Dream,3,2,1,0,0.07692308,1.0,19,calm war film thats perfect snowy afternoon directed quentin tarantino movie explores themes friendship,War,-1.1764706
movies,MOV_00075,A Journey,2,5,3,0,0.46153846,1.0,19,energetic adventure film thats perfect foggy night directed ava duvernay movie explores themes friendship,Adventure,-0.7352941
movies,MOV_00076,In Journey,4,3,3,0,0.030769238,1.0,19,romantic adventure film thats perfect cloudy night directed wes anderson movie explores themes love,Adventure,0.7352941
movies,MOV_00077,A Journey,0,0,2,0,0.9846153,0.88525,19,dark mystery film thats perfect sunny evening directed taika waititi movie explores themes redemption,Mystery,0.7941176
movies,MOV_00078,In Journey,8,5,2,0,0.061538476,0.99196,19,peaceful crime film thats perfect foggy evening directed bong joonho movie explores themes mystery,Crime,-0.029411765
movies,MOV_00079,Beyond Story,11,5,0,0,0.30769232,1.0,19,dramatic crime film thats perfect foggy morning directed denis villeneuve movie explores themes redemption,Crime,0.9705882
movies,MOV_00080,Beyond Story,3,1,1,0,0.07692308,1.0,19,calm scifi film thats perfect rainy afternoon directed quentin tarantino movie explores themes friendship,Sci-Fi,-0.20588236
movies,MOV_00081,Beyond Journey,0,2,1,0,0.9692308,1.0,19,inspiring thriller film thats perfect snowy afternoon directed wes anderson movie explores themes mystery,Thriller,0.85294116
movies,MOV_00082,Beyond Quest,2,1,4,0,0.13846156,1.0,19,energetic biography film thats perfect rainy latenight directed steven spielberg movie explores themes mystery,Biography,-0.4117647
movies,MOV_00083,Heart Promise,10,0,3,0,0.04615384,1.0,19,mysterious romance film thats perfect sunny night directed damien chazelle movie explores themes redemption,Romance,0.14705883
movies,MOV_00084,Soul Promise,18,1,3,0,0.44615385,0.05606,19,intense romance film thats perfect rainy night directed martin scorsese movie explores themes love,Romance,-0.9705882
movies,MOV_00085,The Journey,3,3,4,0,0.46153846,1.0,19,calm crime film thats perfect cloudy latenight directed ryan coogler movie explores themes friendship,Crime,-0.5882353
movies,MOV_00086,A Journey,0,2,0,0,0.9538461,1.0,19,funny fantasy film thats perfect snowy morning directed taika waititi movie explores themes friendship,Fantasy,0.6764706
movies,MOV_00087,The Fire,3,5,0,0,0.7692308,1.0,19,calm action film thats perfect foggy morning directed denis villeneuve movie explores themes redemption,Action,-0.14705883
movies,MOV_00088,Beyond Journey,4,1,0,0,0.78461546,1.0,19,romantic thriller film thats perfect rainy morning directed steven spielberg movie explores themes adventure,Thriller,-0.9705882
movies,MOV_00089,In Quest,0,5,3,0,0.8923077,1.0,19,inspiring mystery film thats perfect foggy night directed denis villeneuve movie explores themes redemption,Mystery,-0.47058824
movies,MOV_00090,A Dream,10,0,0,0,0.3230769,1.0,19,mysterious drama film thats perfect sunny morning directed wes anderson movie explores themes mystery,Drama,0.14705883
movies,MOV_00091,The Quest,10,4,1,0,0.9538461,1.0,19,mysterious adventure film thats perfect stormy afternoon directed ava duvernay movie explores themes love,Adventure,0.9117647
movies,MOV_00092,Beyond Dream,10,3,0,0,0.56923074,1.0,19,mysterious sport film thats perfect cloudy morning directed damien chazelle movie explores themes mystery,Sport,-0.9117647
movies,MOV_00093,In Quest,3,4,2,0,0.6923077,1.0,19,calm western film thats perfect stormy evening directed peter jackson movie explores themes love,Western,-1.0294118
movies,MOV_00094,In Dream,2,5,1,0,0.79999995,1.0,19,energetic animation film thats perfect foggy afternoon directed david fincher movie explores themes love,Animation,-1.2352941
movies,MOV_00095,The Journey,4,3,3,0,0.52307695,1.0,19,romantic biography film thats perfect cloudy night directed jordan peele movie explores themes friendship,Biography,0.5882353
movies,MOV_00096,A Story,0,4,0,0,0.8307692,1.0,19,inspiring animation film thats perfect stormy morning directed ridley scott movie explores themes adventure,Animation,-1.0
movies,MOV_00097,In Story,8,2,4,0,0.53846157,1.0,19,peaceful drama film thats perfect snowy latenight directed james cameron movie explores themes friendship,Drama,-0.5294118
movies,MOV_00098,A Quest,11,5,0,0,0.49230766,1.0,19,dramatic musical film thats perfect foggy morning directed bong joonho movie explores themes adventure,Musical,-0.5
movies,MOV_00099,Silly Mishaps,0,1,2,0,0.6,1.0,19,dark comedy film thats perfect rainy evening directed denis villeneuve movie explores themes adventure,Comedy,-0.88235295
movies,MOV_00100,Night Whisper,5,0,2,0,0.9384616,1.0,19,melancholic horror film thats perfect sunny evening directed jordan peele movie explores themes redemption,Horror,-0.47058824
movies,MOV_00101,The Quest,0,3,1,0,0.21538463,1.0,19,funny crime film thats perfect cloudy afternoon directed steven spielberg movie explores themes love,Crime,0.38235295
movies,MOV_00102,Beyond Dream,6,3,0,0,0.56923074,1.0,19,uplifting adventure film thats perfect cloudy morning directed damien chazelle movie explores themes friendship,Adventure,-0.11764706
movies,MOV_00103,Soul Dream,0,2,1,0,0.20000003,1.0,19,funny romance film thats perfect snowy afternoon directed greta gerwig movie explores themes friendship,Romance,-1.117647
movies,MOV_00104,Heart Dream,11,2,1,0,0.39999998,1.0,19,dramatic romance film thats perfect snowy afternoon directed wes anderson movie explores themes friendship,Romance,0.7941176
movies,MOV_00105,The Quest,4,5,4,0,0.5846154,1.0,19,romantic documentary film thats perfect foggy latenight directed steven spielberg movie explores themes friendship,Documentary,0.7058824
movies,MOV_00106,In Quest,2,3,1,0,0.4153846,1.0,19,energetic scifi film thats perfect cloudy afternoon directed ryan coogler movie explores themes love,Sci-Fi,-1.4117647
movies,MOV_00107,In Dream,11,3,1,0,0.9538461,1.0,19,dramatic biography film thats perfect cloudy afternoon directed bong joonho movie explores themes adventure,Biography,0.5294118
movies,MOV_00108,The Quest,0,2,1,0,0.2923077,1.0,19,inspiring western film thats perfect snowy afternoon directed martin scorsese movie explores themes adventure,Western,-0.44117647
movies,MOV_00109,Heart Journey,6,5,4,0,0.23076923,1.0,19,uplifting romance film thats perfect foggy latenight directed steven spielberg movie explores themes love,Romance,-1.0882353
movies,MOV_00110,Beyond Story,4,2,2,0,0.6461538,1.0,19,romantic documentary film thats perfect snowy evening directed martin scorsese movie explores themes friendship,Documentary,0.9705882
movies,MOV_00111,The Dream,11,4,0,0,0.9230769,1.0,19,dramatic thriller film thats perfect stormy morning directed wes anderson movie explores themes mystery,Thriller,-0.38235295
movies,MOV_00112,Beyond Dream,18,1,0,0,0.73846155,1.0,19,intense mystery film thats perfect rainy morning directed wes anderson movie explores themes friendship,Mystery,-0.88235295
movies,MOV_00113,Silent Shadow,3,0,2,0,0.3846154,1.0,19,calm horror film thats perfect sunny evening directed tim burton movie explores themes adventure,Horror,-0.7941176
movies,MOV_00114,Beyond Dream,18,0,2,0,0.36923078,1.0,19,intense biography film thats perfect sunny evening directed david fincher movie explores themes redemption,Biography,-0.32352942
movies,MOV_00115,A Journey,0,3,4,0,0.70769227,0.81996,19,funny western film thats perfect cloudy latenight directed quentin tarantino movie explores themes love,Western,1.0
movies,MOV_00116,Beyond Journey,0,1,4,0,0.4153846,1.0,19,dark musical film thats perfect rainy latenight directed steven spielberg movie explores themes friendship,Musical,0.3529412
movies,MOV_00117,Funny Adventures,5,3,0,0,0.2923077,1.0,19,melancholic comedy film thats perfect cloudy morning directed ridley scott movie explores themes mystery,Comedy,0.11764706
movies,MOV_00118,Beyond Story,18,1,0,0,0.75384617,1.0,19,intense animation film thats perfect rainy morning directed ava duvernay movie explores themes friendship,Animation,-1.0294118
movies,MOV_00119,Silent Scream,3,1,0,0,0.107692316,0.35307,19,calm horror film thats perfect rainy morning directed ava duvernay movie explores themes friendship,Horror,-1.3529412
movies,MOV_00120,Heart Dream,11,4,2,0,0.23076923,1.0,19,dramatic romance film thats perfect stormy evening directed ridley scott movie explores themes friendship,Romance,0.4117647
movies,MOV_00121,In Quest,0,2,3,0,0.4153846,1.0,19,funny western film thats perfect snowy night directed greta gerwig movie explores themes redemption,Western,0.38235295
movies,MOV_00122,Silly Stories,0,1,2,0,0.20000003,1.0,19,inspiring comedy film thats perfect rainy evening directed martin scorsese movie explores themes mystery,Comedy,0.61764705
movies,MOV_00123,A Quest,3,2,2,0,0.9538461,0.16178,19,calm scifi film thats perfect snowy evening directed peter jackson movie explores themes redemption,Sci-Fi,0.7352941
movies,MOV_00124,In Quest,0,4,2,0,0.30769232,1.0,19,dark western film thats perfect stormy evening directed taika waititi movie explores themes mystery,Western,-0.2647059
movies,MOV_00125,Crazy Adventures,4,4,4,0,0.5846154,1.0,19,romantic comedy film thats perfect stormy latenight directed wes anderson movie explores themes redemption,Comedy,0.64705884
movies,MOV_00126,Beyond Quest,2,5,2,0,0.16923076,1.0,19,energetic adventure film thats perfect foggy evening directed bong joonho movie explores themes mystery,Adventure,0.3529412
movies,MOV_00127,A Journey,3,4,3,0,0.36923078,1.0,19,calm fantasy film thats perfect stormy night directed ryan coogler movie explores themes mystery,Fantasy,-1.2352941
movies,MOV_00128,Battle Storm,5,0,4,0,0.15384616,1.0,19,melancholic action film thats perfect sunny latenight directed taika waititi movie explores themes adventure,Action,0.4117647
movies,MOV_00129,The Journey,5,3,3,0,0.3846154,1.0,19,melancholic fantasy film thats perfect cloudy night directed steven spielberg movie explores themes love,Fantasy,-0.3529412
movies,MOV_00130,Silly Tales,6,0,2,0,0.8923077,1.0,19,uplifting comedy film thats perfect sunny evening directed steven spielberg movie explores themes redemption,Comedy,-0.61764705
movies,MOV_00131,Beyond Dream,0,5,1,0,0.78461546,1.0,19,inspiring musical film thats perfect foggy afternoon directed martin scorsese movie explores themes friendship,Musical,-0.5882353
movies,MOV_00132,In Quest,0,1,2,0,0.5538461,1.0,19,dark mystery film thats perfect rainy evening directed jordan peele movie explores themes redemption,Mystery,-1.382353
movies,MOV_00133,Beyond Dream,10,0,0,0,0.0,1.0,19,mysterious family film thats perfect sunny morning directed ava duvernay movie explores themes adventure,Family,0.9117647
movies,MOV_00134,The Dream,0,0,4,0,0.6,1.0,19,funny documentary film thats perfect sunny latenight directed greta gerwig movie explores themes love,Documentary,-1.0882353
movies,MOV_00135,A Dream,4,2,3,0,0.13846156,1.0,19,romantic thriller film thats perfect snowy night directed jordan peele movie explores themes adventure,Thriller,-0.05882353
movies,MOV_00136,Beyond Journey,2,2,0,0,0.9538461,1.0,19,energetic sport film thats perfect snowy morning directed greta gerwig movie explores themes adventure,Sport,0.8235294
movies,MOV_00137,In Story,0,2,2,0,0.73846155,1.0,19,inspiring sport film thats perfect snowy evening directed ryan coogler movie explores themes friendship,Sport,-0.7352941
movies,MOV_00138,The Quest,18,1,3,0,0.79999995,1.0,19,intense musical film thats perfect rainy night directed martin scorsese movie explores themes mystery,Musical,0.5588235
movies,MOV_00139,Beyond Quest,0,4,3,0,0.53846157,1.0,19,funny drama film thats perfect stormy night directed damien chazelle movie explores themes friendship,Drama,0.20588236
movies,MOV_00140,Beyond Dream,0,0,0,0,0.09230768,1.0,19,inspiring musical film thats perfect sunny morning directed taika waititi movie explores themes friendship,Musical,0.9411765
movies,MOV_00141,Mission Shadow,5,0,1,0,0.3538462,1.0,19,melancholic action film thats perfect sunny afternoon directed ava duvernay movie explores themes redemption,Action,0.32352942
movies,MOV_00142,The Journey,10,5,0,0,0.6769231,1.0,19,mysterious crime film thats perfect foggy morning directed david fincher movie explores themes friendship,Crime,-1.3235294
movies,MOV_00143,Beyond Quest,6,5,4,0,0.876923,1.0,19,uplifting thriller film thats perfect foggy latenight directed jordan peele movie explores themes mystery,Thriller,-0.7941176
movies,MOV_00144,Beyond Journey,4,5,3,0,0.52307695,1.0,19,romantic animation film thats perfect foggy night directed denis villeneuve movie explores themes friendship,Animation,-0.2647059
movies,MOV_00145,A Dream,5,1,2,0,0.123076916,1.0,19,melancholic sport film thats perfect rainy evening directed ridley scott movie explores themes friendship,Sport,0.7352941
movies,MOV_00146,In Story,2,2,3,0,0.61538464,1.0,19,energetic western film thats perfect snowy night directed damien chazelle movie explores themes love,Western,-0.85294116
movies,MOV_00147,Beyond Quest,2,0,4,0,0.030769238,1.0,19,energetic documentary film thats perfect sunny latenight directed david fincher movie explores themes adventure,Documentary,0.3529412
movies,MOV_00148,The Dream,0,2,4,0,0.8153846,0.43731,19,funny western film thats perfect snowy latenight directed ava duvernay movie explores themes friendship,Western,0.44117647
movies,MOV_00149,The Quest,5,1,1,0,0.8153846,1.0,19,melancholic biography film thats perfect rainy afternoon directed damien chazelle movie explores themes friendship,Biography,-0.5
movies,MOV_00150,A Dream,18,2,2,0,0.56923074,1.0,19,intense western film thats perfect snowy evening directed taika waititi movie explores themes love,Western,-0.44117647
movies,MOV_00151,Beyond Quest,2,4,2,0,0.6307692,1.0,19,energetic mystery film thats perfect stormy evening directed ava duvernay movie explores themes love,Mystery,-0.5588235
movies,MOV_00152,In Journey,0,3,1,0,0.9692308,1.0,19,funny drama film thats perfect cloudy afternoon directed peter jackson movie explores themes mystery,Drama,0.23529412
movies,MOV_00153,The Quest,6,0,1,0,0.44615385,0.00808,19,uplifting mystery film thats perfect sunny afternoon directed jordan peele movie explores themes redemption,Mystery,-1.2941177
movies,MOV_00154,A Journey,0,5,2,0,0.7230769,1.0,19,inspiring animation film thats perfect foggy evening directed david fincher movie explores themes mystery,Animation,1.0
movies,MOV_00155,The Dream,5,3,1,0,0.47692305,1.0,19,melancholic war film thats perfect cloudy afternoon directed greta gerwig movie explores themes love,War,0.1764706
movies,MOV_00156,Love Journey,0,2,1,0,0.6307692,1.0,19,dark romance film thats perfect snowy afternoon directed jordan peele movie explores themes friendship,Romance,-1.2352941
movies,MOV_00157,A Story,4,5,0,0,0.24615383,1.0,19,romantic animation film thats perfect foggy morning directed wes anderson movie explores themes love,Animation,0.11764706
movies,MOV_00158,A Quest,8,4,0,0,0.52307695,0.12753,19,peaceful history film thats perfect stormy morning directed damien chazelle movie explores themes adventure,History,-0.029411765
movies,MOV_00159,The Fire,3,0,0,0,0.9538461,1.0,19,calm action film thats perfect sunny morning directed taika waititi movie explores themes adventure,Action,0.7352941
movies,MOV_00160,The Story,2,4,2,0,0.3846154,1.0,19,energetic adventure film thats perfect stormy evening directed martin scorsese movie explores themes adventure,Adventure,-1.1764706
movies,MOV_00161,A Journey,6,5,1,0,0.70769227,1.0,19,uplifting crime film thats perfect foggy afternoon directed ryan coogler movie explores themes adventure,Crime,1.0
movies,MOV_00162,The Dream,18,4,0,0,0.49230766,1.0,19,intense mystery film thats perfect stormy morning directed damien chazelle movie explores themes love,Mystery,0.11764706
movies,MOV_00163,Operation Thunder,0,2,3,0,0.9230769,1.0,19,dark action film thats perfect snowy night directed steven spielberg movie explores themes friendship,Action,-1.3235294
movies,MOV_00164,The Story,3,4,0,0,0.9538461,0.72374,19,calm musical film thats perfect stormy morning directed ava duvernay movie explores themes adventure,Musical,-0.0882353
movies,MOV_00165,A Quest,10,4,3,0,1.0,1.0,19,mysterious musical film thats perfect stormy night directed peter jackson movie explores themes friendship,Musical,-0.3529412
movies,MOV_00166,Battle Fire,5,1,4,0,0.9846153,1.0,19,melancholic action film thats perfect rainy latenight directed ryan coogler movie explores themes love,Action,-0.23529412
movies,MOV_00167,The Story,8,3,0,0,0.5846154,0.65408,19,peaceful biography film thats perfect cloudy morning directed jordan peele movie explores themes redemption,Biography,-1.1764706
movies,MOV_00168,A Story,11,0,1,0,0.107692316,1.0,19,dramatic adventure film thats perfect sunny afternoon directed ava duvernay movie explores themes adventure,Adventure,-0.61764705
movies,MOV_00169,Dark Scream,3,2,1,0,0.09230768,1.0,19,calm horror film thats perfect snowy afternoon directed damien chazelle movie explores themes mystery,Horror,-1.1470588
movies,MOV_00170,The Quest,5,1,0,0,0.0153846005,1.0,19,melancholic western film thats perfect rainy morning directed david fincher movie explores themes redemption,Western,0.5882353
movies,MOV_00171,Battle Storm,5,2,0,0,0.04615384,1.0,19,melancholic action film thats perfect snowy morning directed steven spielberg movie explores themes redemption,Action,-1.2352941
movies,MOV_00172,Beyond Story,6,4,4,0,0.61538464,1.0,19,uplifting thriller film thats perfect stormy latenight directed wes anderson movie explores themes mystery,Thriller,-0.44117647
